Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD),Purchased By
01/01/2025,01/02/2025,LOCAL BISTRO,Local Bistro,Restaurants,Purchase,30.67,Jordan Test
01/02/2025,01/03/2025,PIZZA PALACE,Pizza Palace,Restaurants,Purchase,62.17,Alex Test
01/03/2025,01/04/2025,FIT LIFE GYM MEMBERSHIP,Fit Life Gym,Entertainment,Purchase,45.00,Jordan Test
01/04/2025,01/05/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,56.73,Alex Test
01/04/2025,01/05/2025,LOCAL BISTRO,Local Bistro,Restaurants,Purchase,31.94,Alex Test
01/05/2025,01/06/2025,SPOTIFY USA,Spotify,Entertainment,Purchase,9.99,Jordan Test
01/08/2025,01/09/2025,NETFLIX.COM LOS GATOS CA,Netflix,Entertainment,Purchase,15.99,Alex Test
01/12/2025,01/13/2025,WHOLE FOODS STORE #484,Whole Foods,Grocery,Purchase,133.34,Alex Test
01/12/2025,01/13/2025,PIZZA PALACE,Pizza Palace,Restaurants,Purchase,54.57,Alex Test
01/12/2025,01/13/2025,ACME AUTO INSURANCE,Acme Auto Insurance,Insurance,Purchase,141.41,Alex Test
01/13/2025,01/14/2025,WHOLE FOODS STORE #510,Whole Foods,Grocery,Purchase,56.00,Alex Test
01/17/2025,01/18/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,17.47,Alex Test
01/17/2025,01/18/2025,CHEVRON FUEL,Chevron,Transportation,Purchase,48.29,Jordan Test
01/19/2025,01/20/2025,AMAZON.COM,Amazon,Shopping,Purchase,52.73,Jordan Test
01/20/2025,01/21/2025,CITY POWER & UTILITY,City Power & Utility,Utilities,Purchase,153.56,Alex Test
01/21/2025,01/22/2025,WHOLE FOODS STORE #957,Whole Foods,Grocery,Purchase,118.25,Alex Test
01/25/2025,01/26/2025,WHOLE FOODS STORE #316,Whole Foods,Grocery,Purchase,101.52,Alex Test
01/25/2025,01/26/2025,ACH DEPOSIT INTERNET TRANSFER,Payment,Payment,Payment,-712.80,Alex Test
01/26/2025,01/27/2025,AMAZON.COM,Amazon,Shopping,Purchase,26.15,Jordan Test
01/27/2025,01/28/2025,CHEVRON FUEL,Chevron,Transportation,Purchase,53.64,Alex Test
02/01/2025,02/02/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,19.74,Jordan Test
02/03/2025,02/04/2025,FIT LIFE GYM MEMBERSHIP,Fit Life Gym,Entertainment,Purchase,45.00,Alex Test
02/05/2025,02/06/2025,LOCAL BISTRO,Local Bistro,Restaurants,Purchase,63.77,Jordan Test
02/05/2025,02/06/2025,AMAZON.COM,Amazon,Shopping,Purchase,29.11,Alex Test
02/05/2025,02/06/2025,SPOTIFY USA,Spotify,Entertainment,Purchase,9.99,Alex Test
02/06/2025,02/07/2025,SAFEWAY STORE #974,Safeway,Grocery,Purchase,85.86,Jordan Test
02/07/2025,02/08/2025,CHIPOTLE,Chipotle,Restaurants,Purchase,28.95,Alex Test
02/08/2025,02/09/2025,CHEVRON FUEL,Chevron,Transportation,Purchase,54.77,Jordan Test
02/08/2025,02/09/2025,NETFLIX.COM LOS GATOS CA,Netflix,Entertainment,Purchase,15.99,Alex Test
02/11/2025,02/12/2025,Ikea,Ikea,Shopping,Purchase,36.24,Alex Test
02/12/2025,02/13/2025,SAFEWAY STORE #177,Safeway,Grocery,Purchase,131.38,Alex Test
02/12/2025,02/13/2025,WHOLE FOODS STORE #847,Whole Foods,Grocery,Purchase,142.22,Alex Test
02/12/2025,02/13/2025,ACME AUTO INSURANCE,Acme Auto Insurance,Insurance,Purchase,132.92,Jordan Test
02/13/2025,02/14/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,40.12,Alex Test
02/18/2025,02/19/2025,SAFEWAY STORE #381,Safeway,Grocery,Purchase,132.40,Alex Test
02/19/2025,02/20/2025,SUSHI PLACE,Sushi Place,Restaurants,Purchase,14.00,Jordan Test
02/20/2025,02/21/2025,CITY POWER & UTILITY,City Power & Utility,Utilities,Purchase,152.91,Alex Test
02/24/2025,02/25/2025,CHEVRON FUEL,Chevron,Transportation,Purchase,44.88,Alex Test
02/25/2025,02/26/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,24.38,Jordan Test
02/25/2025,02/26/2025,ACH DEPOSIT INTERNET TRANSFER,Payment,Payment,Payment,-603.26,Jordan Test
03/02/2025,03/03/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,12.59,Alex Test
03/03/2025,03/04/2025,FIT LIFE GYM MEMBERSHIP,Fit Life Gym,Entertainment,Purchase,45.00,Alex Test
03/05/2025,03/06/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,33.08,Alex Test
03/05/2025,03/06/2025,SPOTIFY USA,Spotify,Entertainment,Purchase,9.99,Jordan Test
03/06/2025,03/07/2025,CHIPOTLE,Chipotle,Restaurants,Purchase,33.50,Jordan Test
03/08/2025,03/09/2025,SUSHI PLACE,Sushi Place,Restaurants,Purchase,24.09,Jordan Test
03/08/2025,03/09/2025,NETFLIX.COM LOS GATOS CA,Netflix,Entertainment,Purchase,15.99,Jordan Test
03/11/2025,03/12/2025,SAFEWAY STORE #220,Safeway,Grocery,Purchase,142.97,Alex Test
03/12/2025,03/13/2025,SAFEWAY STORE #629,Safeway,Grocery,Purchase,117.90,Jordan Test
03/12/2025,03/13/2025,ACME AUTO INSURANCE,Acme Auto Insurance,Insurance,Purchase,135.32,Alex Test
03/20/2025,03/21/2025,COSTCO WHOLESALE STORE #537,Costco Wholesale,Grocery,Purchase,141.61,Jordan Test
03/20/2025,03/21/2025,CORNER COFFEE SHOP,Corner Coffee Shop,Restaurants,Purchase,39.55,Jordan Test
03/20/2025,03/21/2025,CITY POWER & UTILITY,City Power & Utility,Utilities,Purchase,96.76,Jordan Test
03/21/2025,03/22/2025,AMAZON.COM,Amazon,Shopping,Purchase,19.45,Jordan Test
03/22/2025,03/23/2025,AMAZON.COM,Amazon,Shopping,Purchase,36.44,Jordan Test
03/22/2025,03/23/2025,CHEVRON FUEL,Chevron,Transportation,Purchase,43.02,Alex Test
03/23/2025,03/24/2025,LOCAL BISTRO,Local Bistro,Restaurants,Purchase,54.10,Alex Test
03/23/2025,03/24/2025,CHEVRON FUEL,Chevron,Transportation,Purchase,61.72,Jordan Test
03/25/2025,03/26/2025,ACH DEPOSIT INTERNET TRANSFER,Payment,Payment,Payment,-781.25,Alex Test
03/31/2025,03/31/2025,SAFEWAY STORE #168,Safeway,Grocery,Purchase,64.46,Jordan Test
